Flight Mechanics 2,This unit aims to develop an understanding of the application of flight mechanics principles to modern aircraft systems. Students will gain skills in problem solving in the areas of dynamic aircraft behaviour aircraft sensitivity to wind gusts control systems development and aircraft handling analysis.,AERO4560,Aerospace
Rotary Wing Aircraft,This unit aims to develop an understanding of the theory of flight design and analysis of helicopters auto-gyros and other rotary wing aircraft. Students will gain an appreciation of the extra difficulties involved when the vehicle flow is cyclic in nature. At the end of this unit students will be able to: Identify and predict the various flow states of a generic lift producing rotor; Use appropriate methods to determine the forces and torques associated with the rotor; Estimate values for typical stability derivatives for helicopters and be able to construct a simple set of stability analysis equations for the vehicle; become aware of the regulatory and liability requirements relating to all aspects of commercial helicopter operation and maintenance. Course content will include introduction to rotary wing aircraft; vertical flight performance; forward flight performance; blade motion and control; dynamics of rotors; rotor-craft stability; rotor blade design.,AERO4206,Aerospace
Rotary Wing Aircraft,This unit aims to develop an understanding of the theory of flight design and analysis of helicopters auto-gyros and other rotary wing aircraft. Students will gain an appreciation of the extra difficulties involved when the vehicle flow is cyclic in nature. At the end of this unit students will be able to: Identify and predict the various flow states of a generic lift producing rotor; Use appropriate methods to determine the forces and torques associated with the rotor; Estimate values for typical stability derivatives for helicopters and be able to construct a simple set of stability analysis equations for the vehicle; become aware of the regulatory and liability requirements relating to all aspects of commercial helicopter operation and maintenance. Course content will include introduction to rotary wing aircraft; vertical flight performance; forward flight performance; blade motion and control; dynamics of rotors; rotor-craft stability; rotor blade design.,AERO5206,Aerospace
Aircraft Performance and Operations,This unit aims to develop in students an understanding of the fundamental concepts involved in the operation and performance of aircraft. The students will acquire an ability to make accurate and meaningful measurements of take-off climb cruise turn descent and landing performance; to perform weight and balance calculations; to understand the use of aerodynamic derivatives and their impact on aircraft performance. Students will be shown methods to optimise performance for specific missions. The unit will also cover modern issues such as airport congestion noise restrictions aviation certification requirements for the use of different aircraft categories and novel methods of solving these problems.,AERO2703,Aerospace
Space Engineering 1,This unit aims to introduce students to the terminology technology and current practice in the field of Space Engineering. Course content will include a variety of topics in the area of Space Engineering including: orbital mechanics satellite systems launch vehicle systems space related regulations space systems engineering analysis.,AERO2705,Aerospace
Aerospace Design 1,This unit aims to introduce students to the theory and practice of aircraft component design. In doing so it will emphasize all the considerations trade-offs and decisions inherent in this process and thus enable students to gain an understanding of why aircraft structures are designed in the way they are with respect to aircraft operational certification manufacturing and cost considerations. At the end of this unit students will be able to understand the design process especially as it applies to aircraft individual component design; Have a familiarity with some of the standard industry practices for component design; An increasing familiarity with typical aerospace analysis techniques along with the primary failure modes that need to be considered; An understanding of the importance of different failure modes for different components and how these relate to load-conditions; a familarity with the operating environment that must be considered when designing components; and understanding of some of the legal and ethical requirements of aircraft design engineers to give a basic understanding of the regulatory framework in which aircraft design is conducted.,AERO3460,Aerospace
Aerodynamics 2,This unit aims to introduce students to: elementary and advanced topics in Gasdynamics (High Speed Flows). Course content will include review of Equations of Gasdynamics One-Dimensional Gas Flow Isentropic Flows Normal Shock Flow in a Converging and Converging-Diverging Nozzle Steady Two-dimensional Supersonic Flow Shock waves (Normal and Oblique) Method of Characteristics Two-dimensional Supersonic Aerofoils Introduction to Three Dimensional Effects Unsteady Flows Moving Shocks Shock Tube Flow and Transonic Flow and Compressible Boundary Layers introduction to turbulent flows. At the end of this unit the student will be able to calculate a high speed flow about an aerofoil and compressible flow through a duct of varying cross-section and will have a good appreciation of Transonic and Hypersonic Flows.,AERO4260,Aerospace
Spacecraft and Satellite Design,This unit aims to provide students with a learning environment that promotes systems thinking and allows students to develop skills in systems analysis and design. In particular the UoS will focus on Aerospace systems and students will develop both theoretical and practical skills in the area of systems engineering for this discipline. The primary objective is to develop fundamental systems engineering and systems thinking skills. At the end of this unit students will be able to: define the requirements process and be able to apply it to aerospace systems design.; conduct requirements analysis for an aerospace system and to drill down through requirements breakdown and the use of the V-diagram in this analysis; conduct functional and technical analysis and determine design drivers in a system; manage the use of a log book and its application in engineering design; develop technical skills in the design and development of satellite subsystems; conduct appropriate interaction processes between team members for the successful achievement of goals. Course content will include fundamentals of systems engineering; satellite subsystems; systems design.,AERO5760,Aerospace
Aerospace Structures 2,This unit aims to teach fundamentals of modern numerical and analytical techniques for evaluating stresses strains deformations and strengths of representative aerospace structures. In particular the focus is on developing an understanding of: Fundamental concepts and formulations of the finite element methods for basic structural analysis; Elements for typical aerospace structures such as beams/frames plates/shells and their applications and limitations; Finite element techniques for various types of problems pertinent to aerospace structures; and developing hands-on experience of using selected commercial finite element analysis program. At the end of this unit of study the following will have been covered: Introduction to Finite Element Method for modern structural and stress analysis; One-dimensional rod elements; Generalization of FEM for elasticity; Two- and three-dimensional trusses; FEA for beams and frames in 2D and 3D; Two-dimensional problems using constant strain triangular elements; The two-dimensional isoparametric elements; Plates and shells elements and their applications; FEA for axisymmetric shells and pressure vessels shells of revolution; FEA for axisymmetric solids subjected to axi-symmetric loading; FEA for structural dynamics eigenvalue analysis modal response transient response; Finite element analysis for stress stiffening and buckling of beams plates and shells; Three-dimensional problems in stress analysis; Extensions to the element library higher order elements special elements; Constraints; FEA modeling strategy; FEA for heat conduction; FEA for non-linear material and geometric analysis.,AERO4360,Aerospace
Applied Finite Element Analysis,This unit aims to teach fundamentals of modern numerical and analytical techniques for evaluating stresses strains deformations and strengths of representative aerospace structures. In particular the focus is on developing an understanding of: Fundamental concepts and formulations of the finite element methods for basic structural analysis; Elements for typical aerospace structures such as beams/frames plates/shells and their applications and limitations; Finite element techniques for various types of problems pertinent to aerospace structures; d)and developing hands-on experience of using selected commercial finite element analysis program.,AERO5301,Aerospace
Space Engineering 3,This unit aims to teach students the fundamental principles and methods of designing solutions to estimation and control problems in aerospace engineering applications. Students will apply learned techniques in estimation and control theory to solving a wide range of different problems in engineering such as satellite orbit determination orbit transfers satellite attitude determination satellite positioning systems and remote sensing. Students will learn to recognise and appreciate the coupling between the different elements within an estimation and control task from a systems-theoretic perspective. Students will learn to use this system knowledge and basic design principles to design and test a solution to a given estimation task with a focus on aerospace applications (such as satellite remote sensing).,AERO4701,Aerospace
Aerospace Management [not running in 2020],This unit aims to: develop an understanding of the principles of management as applies particularly to the engineering and industrial settings. It aims to provide knowledge of the principles and tools that can assist communication supervision project management team membership decision making and risk management.,AERO3660,Aerospace
Aircraft Avionics and Systems [not running in 2020],This unit of study aims to develop a thorough qualitative understanding of modern avionics and aircraft systems. It deals with the full breadth of cockpit avionics systems and subsystems from flight instrument and display technology to flight management flight control navigation and sensor systems.,AERO5520,Aerospace
Advanced Aircraft Design Analysis,This unit of study aims to provide familiarity and understanding with practical aircraft design processes expected in industry including the evaluation and case studies of existing aircraft designs. Students will gain a better understanding of relevant issues particularly related to the design of aircraft with a level of confidence to lead them to develop new designs or modifications having a good balance between theory and real-world applications. Good familiarity with unique and stringent international aviation regulations and certification processes will be expected with respect to the design of aircraft. Topics covered by the lectures will include aircraft specifications; aircraft selection and evaluation; aircraft configuration design; design considerations for aerodynamics structures systems manufacture testing certification life-cycle-cost operations; the use of computational aircraft design tools and introduction to multidisciplinary design optimisation methods. Projects will be based on case study analyses and evaluation of aircraft types to operational specifications and requirements.,AERO5400,Aerospace
Space Engineering 2,This unit of study covers a range of fundamental and applied topics in space engineering systems including satellite tracking and orbit determination satellite attitude determination satellite positioning systems space robotics and planetary rovers. Students will learn to recognise and appreciate the coupling between the different elements of space system design. Students will learn to use this system knowledge and basic design principles to design and test a solution to problems including space estimation and control tasks and space systems design.,AERO3760,Aerospace
Introduction to Aerospace Engineering,"This unit of study introduces students to the role of professional aerospace engineers along with the development of fundamental engineering knowledge and skills for aerospace vehicle design analysis performance and operation. Students will learn through experience to develop professional skills in research interpretation communication and presentation of information relating to aerospace engineering. Expected learning includes: introduction to lateral thinking concepts; glossary of aerospace vehicle components and terminology; an introduction to the multiple disciplines related to aerospace engineering such as aerodynamics aircraft and spacecraft performance mechanics of flight aerospace structures materials and propulsion systems; how the various disciplines are integrated into the design and development of flight platform systems; the operating characteristics of modern flight vehicles their uses and limitations; modern developments and future trends in aerospace; the limitations of the aerospace environment; teamwork; and resource management. Significantly professional enhancement is introduced through the development of basic hands-on workshop skills. These practical skills enable students to have a better appreciation of the tools that they are expected to apply their engineering knowledge to during their aerospace engineering profession. Experiential learning is facilitated through developing skills with machine and hand tools; solid modelling; and microcontrollers in a supervised environment to develop fundamentals of practical aerospace vehicle component design manufacture control servicing and repair. Manufacturing Technology: An overview of a range of processes related to the design and manufacture of aerospace components is provided through hands-on experience. Manufacturing Technology practical work is undertaken in: (a) Hand tools Machining and Fibreglassing - an introduction to basic manufacturing processes used to fabricate aerospace engineering hardware. Safety requirements: All students are required to provide their own personal protective equipment (PPE) and comply with the workshop safety rules provided in class. Students who fail to do this will not be permitted to enter the workshops. In particular approved industrial footwear must be worn and long hair must be protected by a hair net. Safety glasses must be worn at all times. (b) Solid Modelling - the use of computer aided design (CAD) tools to model geometry and create engineering drawings of engineering components. (c) Microcontrollers - ubiquitous in modern engineered products - will be introduced through experiential learning with development kits.
",AERO1560,Aerospace
Aerodynamics 1,This unit of study should prepare students to be able to undertake aerodynamic performance calculations for industry design situations.,AERO3260,Aerospace
Propulsion,This unit of study teaches the students the techniques used to propel aircraft. The students will learn to analyse various propulsion systems in use- propellers gas turbines etc. The topics covered include: Propulsion unit requirements for subsonic and supersonic flight; thrust components efficiencies additive drag of intakes; piston engine components and operation; propeller theory; operation components and cycle analysis of gas turbine engines; turbojets; turbofans; turboprops; ramjets. Components: compressor fan burner turbine nozzle. Efficiency of components: Off-design considerations. Future directions: minimisation of noise and pollution; scram-jets; hybrid engines.,AERO3261,Aerospace
Advanced Aerodynamics,To develop a specialist knowledge in the fields of computational non-linear and unsteady aerodynamics. The develop familiarity with the techniques for predicting airflow/structure interactions for aerospace vehicles. Syllabus Summary: Advanced two and three dimensional panel method techniques; calculation of oscillatory flow results; prediction of aerodynamic derivatives. Pressure distributions for complete aircraft configuration. Unsteady subsonic flow analysis of aircraft; calculation of structural modes. Structural response to gusts; aeroelasticity; flutter and divergence. Solution of aerospace flow problems using finite element methods. Unsteady supersonic one-dimensional flow. Hypersonic flow; real gas effects. Introduction to the use of CFD for transonic flow.,AERO8200,Aerospace
Biomedical Engineering 2,AMME2960 Biomedical Engineering 2 is the third of the four Biomedical Engineering foundational units. The first (AMME1960 Biomedical Engineering 1A) introduces students to the discipline of biomedical engineering covering the key concepts of biomedical technology design biomechanics and the important systems of the human body from a biomedical engineering perspective. The second (AMME1961 Biomedical Engineering 1B) is an introduction to Biotechnology. The fourth (MECH2901 Anatomy and Physiology for Engineers) provides a hands-on anatomy and physiology study of the key systems of the human body from a biomedical engineering perspective and includes cadaver laboratories. This unit (AMME2960 Biomedical Engineering 2) is designed to provide students with the necessary tools for mathematically modelling and solving problems in engineering. Engineering methods will be considered for a range of canonical problems including conduction heat transfer in one and two dimensions vibration stress and deflection analysis convection and stability problems. The mathematical tools covered in the lectures include: deriving analytical solutions via separation of variables Fourier series and Fourier transforms Laplace transforms scaling and solving numerically using finite differences finite element and finite volume approaches. There is a strong emphasis in both the lectures and tutorials on applying these mathematical methods to real biomedical engineering problems involving electrical mechanical thermal and chemical mechanisms in the human body. Specific examples include heat regulation vibrations in biological systems and the analysis of physiological signals such as ECG and EEG.,AMME2960,Biomedical
Introduction to Biomechatronics,Biomechatronics is the application of mechatronic engineering to human biology and as such it forms an important subset of the overall biomedical engineering discipline. This course focusses on a number of areas of interest including auditory and optical prostheses artificial hearts and active and passive prosthetic limbs and examines the biomechatronic systems (hardware and signal processing) that underpin their operation.,AMME5790,Biomedical
Biomedical Engineering 1A,Biomedical Engineering 1A introduces students to the biomedical engineering discipline of study and profession.,AMME1960,Biomedical
Biomedical Engineering 1A,"Biomedical Engineering 1A introduces students to the exciting interdisciplinary field of Biomedical Engineering through lectures from experts in the key thematic areas of Biomedical Engineering and practical hands-on training that every Biomedical Engineer needs to know. Areas you will cover include: (i) Medical Imaging; (ii) Biomaterials and Tissue Engineering; (iii) Nanomaterials and Nanotechnology; (iv) Medical Devices and Sensors; (v) Biomechanics and Computational Biomedical Engineering; (vi) Biomanufacturing; and (vii) Bionics and Neuromodulation. You will also complete two major assignments. Assignment 1 is the BMET1960 CANNES (creatively argued no-nonsense ethics scenarios) Film Festival in which you will develop a persuasive position on a biomedical ethical scenario with your peers and present it creatively in a video. In Assignment 2 you will explore one of the areas of Biomedical Engineering that interests you and present a hypothetical ""game-changing"" technical report for the field. The quizzes assignments and exam make up 60% of the total assessment. The remaining 40% comprises practical work (the Manufacturing Technology Workshop) involving a range of hardware and software skills vital to your future work as an engineer. We hope this introductory unit stirs your passion and interest in the exciting field of Biomedical Engineering!",BMET1960,Biomedical
Biomedical Engineering 2 ,BMET2960 is designed to provide students with the necessary tools for mathematically modelling and solving problems in engineering. Engineering methods will be considered for a range of canonical problems including conduction heat transfer in one and two dimensions vibration stress and deflection analysis convection and stability problems. The mathematical tools covered in the lectures include: deriving analytical solutions via separation of variables Fourier series and Fourier transforms Laplace transforms scaling and solving numerically using finite differences finite element and finite volume approaches. There is a strong emphasis in both the lectures and tutorials on applying these mathematical methods to real biomedical engineering problems involving electrical mechanical thermal and chemical mechanisms in the human body. Specific examples include heat regulation vibrations in biological systems and the analysis of physiological signals such as ECG and EEG.,BMET2960,Biomedical
Biomedical Product Development,Elective Unit of Study: Product development in the biomedical area presents unique challenges that need to be addressed to efficiently satisfy strict regulatory requirements and to successfully advance products to approval for marketing. Biomedical engineers need a broad understanding of these challenges as the main components of product development are complex and interdependent.  Development of good manufacturing and quality control processes preclinical and clinical validation of product safety and efficacy and regulatory filings are each progressive and interdependent processes.  This UoS will provide a broad understanding of regulatory requirements for biomedical product development with particular emphasis on the dependence of each component on the development of processes and control systems that conform to Good Manufacturing Practice.  This UoS assumes prior knowledge of cell biology and chemistry and builds on that foundation to elaborate on the important aspects of biomedical product development.,AMME4990,Biomedical
Biomedical Engineering Technology 1,Elective Unit of Study: Product development in the biomedical area presents unique challenges that need to be addressed to efficiently satisfy strict regulatory requirements and to successfully advance products to approval for marketing. Biomedical engineers need a broad understanding of these challenges as the main components of product development are complex and interdependent.  Development of good manufacturing and quality control processes preclinical and clinical validation of product safety and efficacy and regulatory filings are each progressive and interdependent processes.  This UoS will provide a broad understanding of regulatory requirements for biomedical product development with particular emphasis on the dependence of each component on the development of processes and control systems that conform to Good Manufacturing Practice.  This UoS assumes prior knowledge of cell biology and chemistry and builds on that foundation to elaborate on the important aspects of biomedical product development.,AMME5990,Biomedical
Fundamentals of Neuromodulation,Implantable microelectronic devices functioning either as nerve stimulators or nerve blockers comprise one of the largest markets in the global medical device industry. The aim of this unit of study is to give students a complete overview of the underlying technology (microelectronics encapsulation biomaterials electrode biomaterials electrode-neural interactions inductive power systems and data links signal processing) and an expert review of the major technological applications on the market which include Cochlear implants pacemakers and implantable defibrillators deep brain stimulators pain control nerve blockers bionic eye implants functional electrical stimulation systems. The unit will also review emerging applications such as gastrointestinal disorders obesity; vagal nerve stimulation - epilepsy depression carotid artery stimulation – hypertension spinal cord stimulation - ischemic disorders angina peripheral vascular disease incontinence erectile dysfunction. The unit will conclude with a snapshot of the future: “brain on a chip” progress nerve regrowth neurotropins drug/device combinations.  This is a Master of Professional Engineering Unit of Study intended for biomedical engineering students with an interest in working in the medical device industry in the large market sector area of implantable electronic devices.,AMME5951,Biomedical
Introduction to Mechanobiology,Mechanobiology has emerged as a new field of science that integrates biology and engineering and is now considered to have significant influence on the development of technologies for regenerative medicine and tissue engineering. It is well known that tissues and cells are sensitive to their mechanical environment and changes to this environment can affect the physiological and pathophysiological processes. Understanding the mechanisms by which biological cells sense and respond to mechanical signals can lead to the development of novel treatments and therapies for a variety of diseases.,BMET5962,Biomedical
Nanotechnology in Biomedical Engineering,Nanotechnology in Biomedical Engineering will have a broad nanotechnology focus and a particular focus on the biophysics and electrical aspects of nanotechnology as it relates to nanobiosensors and nanobioelectronics which represents a rapidly growing field in Biomedical Engineering that combines nanotechnology electronics and biology with promising applications in bionics and biosensors. Nanodimensionality and biomimetics holds the potential for significant improvements in the sensitivity and biocompatibility and thereby open up new routes in clinical diagnostics personalized health monitoring and therapeutic biomedical devices.,BMET5958,Biomedical
Biomedical Product Development ,Product development in the biomedical area presents unique challenges that need to be addressed to efficiently satisfy strict regulatory requirements and to successfully advance products to approval for marketing. Biomedical engineers need a broad understanding of these challenges as the main components of product development are complex and interdependent. Development of good manufacturing and quality control processes preclinical and clinical validation of product safety and efficacy and regulatory filings are each progressive and interdependent processes. This UoS will provide a broad understanding of regulatory requirements for biomedical product development with particular emphasis on the dependence of each component on the development of processes and control systems that conform to Good Manufacturing Practice. This UoS assumes prior knowledge of cell biology and chemistry and builds on that foundation to elaborate on the important aspects of biomedical product development.,BMET4990,Biomedical
Major Industrial Project,"Students spend 6 months at an industrial placement working on a major engineering project relevant to their engineering stream. This is a 24 credit point unit which may be undertaken as an alternative to BMET4111/4112 Thesis A and B and two recommended electives. This unit of study gives students experience in carrying out a major project within an industrial environment and in preparing and presenting detailed technical reports (both oral and written) on their work. The project is carried out under joint University/industry supervision with the student essentially being engaged fulltime on the project at the industrial site.
",BMET4010,Biomedical
Regulatory Affairs in the Medical Industry,"Supply of medical devices diagnostics and related therapeutic products is regulated in most jurisdictions with sophisticated and complex regulatory regimes in all large economies. These regulations are applied both to manufacturers and designers and to biomedical engineers undertaking device custom manufacture or maintenance in clinical environments. This UoS will explore the different regulatory frameworks in the ""Global Harmonisation Task Force"" group of jurisdictions (US EU Canada Japan Australia) as well as emerging regulatory practices in Asia and South America. Emphasis will be on the commonality of the underlying technical standards and the importance of sophisticated risk management approaches to compliance.",BMET5992,Biomedical
Thesis A,"The ability to plan systematically conduct and report on a major project involving both research and design is an important skill for professional engineers. The final year thesis units (Thesis A and Thesis B) aim to provide students with the opportunity to carry out a defined piece of independent research and design that fosters the development of engineering skills. These skills include: the capacity to define a problem; carry out systematic research in exploring how it relates to existing knowledge; identifying the tools needed to address the problem; designing a solution product or prototype; analysing the results obtained; and presenting the outcomes in a report that is clear coherent and logically structured. The thesis is undertaken across two CONSECUTIVE semesters of enrollment if not students will have to enroll in Thesis A again. Taken together the thesis A covers initial research into the background of the problem being considered (formulated as a literature review) development of a detailed proposal incorporating project objectives planning and risk assessment preliminary design modelling and/or experimental work followed by the detailed work in designing a solution performing experiments evaluating outcomes analysing results and writing up and presenting the outcomes. The final grade is based on the work done in both Honours Thesis A and B and will be awarded upon successful completion Thesis B. While recognising that some projects can be interdisciplinary in nature it is the normal expectation that the students would do the project in their chosen area of specialisation. For student who are completing a Major within their BE degree the thesis topic must be within the area of the Major. The theses to be undertaken by students will very often be related to some aspect of a staff member's research interests. Some projects will be experimental in nature others may involve computer-based simulation and analysis feasibility studies or the design construction and testing of equipment. All however will require students to undertake research and design relevant to the topic of their thesis. The direction of thesis work may be determined by the supervisor or be of an original nature but in either case the student is responsible for the execution of the practical work and the general layout and content of the thesis itself. The thesis must be the student's individual work although it may be conducted as a component of a wider group project. Students undertaking research on this basis will need to take care in ensuring the quality of their own research and design work and their individual final thesis submission. The thesis will be judged on the extent and quality of the student's original work and particularly how critical perceptive and constructive he or she has been in assessing his/her work and that of others. Students will also be required to present the results of their thesis to their peers and supervisors as part of a seminar program. Whilst thesis topics will be constrained by the available time and resources the aim is to contribute to the creation of new engineering knowledge techniques and/or solutions. Students should explore topics that arouse intellectual curiosity and represent an appropriate range and diversity of technical and conceptual research and design challenges.
",BMET4111,Biomedical
Thesis B,The ability to plan systematically conduct and report on a major project involving both research and design is an important skill for professional engineers. The final year thesis units (Thesis A and Thesis B) aim to provide students with the opportunity to carry out a defined piece of independent research and design that fosters the development of engineering skills. These skills include: the capacity to define a problem; carry out systematic research in exploring how it relates to existing knowledge; identifying the tools needed to address the problem; designing a solution product or prototype; analysing the results obtained; and presenting the outcomes in a report that is clear coherent and logically structured. The thesis is undertaken across two CONSECUTIVE semesters of enrollment if not students will have to enroll in Thesis A again. Taken together the thesis A covers initial research into the background of the problem being considered (formulated as a literature review) development of a detailed proposal incorporating project objectives planning and risk assessment preliminary design modelling and/or experimental work followed by the detailed work in designing a solution performing experiments evaluating outcomes analysing results and writing up and presenting the outcomes. The final grade is based on the work done in both Honours Thesis A and B and will be awarded upon successful completion Thesis B. While recognising that some projects can be interdisciplinary in nature it is the normal expectation that the students would do the project in their chosen area of specialisation. For student who are completing a Major within their BE degree the thesis topic must be within the area of the Major. The theses to be undertaken by students will very often be related to some aspect of a staff member's research interests. Some projects will be experimental in nature others may involve computer-based simulation and analysis feasibility studies or the design construction and testing of equipment. All however will require students to undertake research and design relevant to the topic of their thesis. The direction of thesis work may be determined by the supervisor or be of an original nature but in either case the student is responsible for the execution of the practical work and the general layout and content of the thesis itself. The thesis must be the student's individual work although it may be conducted as a component of a wider group project. Students undertaking research on this basis will need to take care in ensuring the quality of their own research and design work and their individual final thesis submission. The thesis will be judged on the extent and quality of the student's original work and particularly how critical perceptive and constructive he or she has been in assessing his/her work and that of others. Students will also be required to present the results of their thesis to their peers and supervisors as part of a seminar program. Whilst thesis topics will be constrained by the available time and resources the aim is to contribute to the creation of new engineering knowledge techniques and/or solutions. Students should explore topics that arouse intellectual curiosity and represent an appropriate range and diversity of technical and conceptual research and design challenges.,BMET4112,Biomedical
Orthopaedic and Surgical Engineering,The aims and objectives of the UoS are: 1.To introduce the student to the details and practice of orthopaedic engineering; 2.To give students an overview of the diverse knowledge necessary for the design and evaluation of implants used in orthopaedic surgery; 3.To enable students to learn the language and concepts necessary for interaction with orthopaedic surgeons and the orthopaedic implant industry; 4.To introduce the student to the details and practice of other engineering applications in surgery particularly in the cardiovascular realm.,BMET5907,Biomedical
