Aerospace materials,"Lightweight composite materials are used widely in aerospace structures. They include carbon fibre reinforced plastics, glass fibre reinforced plastics, carbon laminates, composite panels, carbon mats and woven fabrics. Honeycomb structures, metal matrix composites, thermal ceramics and advanced materials. Light alloys: aluminium, titanium and magnesium. Thermoset and thermoplastic systems. Manufacture, processing and fabrication of aerospace materials. Net shape forming and structure-property relationships. Joining of composites. Properties and selection of aerospace materials. Degradation, failure modes, delaminating, bond failure, environmental and thermal degradation, fatigue and wear.",Aerospace
Aircraft structures 2,This unit aims to develop an understanding of the analytical methodologies used in strength and stiffness assessment of aircraft structures. The unit will develop an understanding of the translation of aerodynamic and ground loading on aircraft wings and fuselage to the overall airframe. An understanding of the concept of structural idealisation and constraint will be developed along with real-world limitations. The principles of stressed skin construction will be considered in detail. The unit aims to develop an understanding of the analysis and design of structural problems common in the aerospace industry. It will provide you with the tools necessary to analyse aircraft structures.,Aerospace
Aerospace control,"This unit commences with the modelling of various dynamic engineering systems, followed by the analysis of their transient and steady-state responses. More sophisticated analytical methods such as root locus and frequency response will be explored and will build the foundation for controller design in the future. Modelling via state-space methods will also be briefly covered.",Aerospace
Computer-aided design,Finite element analysis (FEA) in computer-aided design; finite element formulation; first-order and second-order elements; stiffness matrix; integration points and stress recovery; convergence and mesh refinement; FEA of plane stress and plane strain problems; FEA of axisymmetric problems; FEA of nonlinear materials; FEA of contact problems; FEA of large deformation problems; FEA of dynamic problems; FEA of fracture mechanics.,Aerospace
Aerospace computational mechanics,"This unit introduces numerical analysis techniques for interpolation, root finding, integration, the solution of ordinary differential equations, and the analysis of data. The role computers play in the solution of modern aerospace engineering problems is emphasised through exposure to finite difference, finite volume and finite element techniques for partial differential equations, and the implementation of these techniques in commercial fluid dynamics and structural mechanics packages.",Aerospace
Aerospace practices,"This unit introduces you to the science of ageing aircraft with respect to the operation and airworthiness of civil aircraft in Australia. Issues relevant to aerospace engineers in the context of ethical practice, the environment, intellectual property, trade practices, health and safety awareness and technological developments are also covered. Writing exercises and oral presentations will prepare you for professional practice.",Aerospace
Instrumentation and avionics,"This unit introduces avionics instruments used in vehicles ranging from light aircraft, air transport, manned and unmanned space vehicles. Their application, principles of operation, accuracy, advantages, limitations, ground systems and the flight vehicle requirements of avionics equipment. Navigation systems with an emphasis on typical forms of measurements involved, their use to pilots and industry are covered. Steering systems, self contained and radio direction finding systems and components, system interfacing, instrumentation and control are examined. Issues of interference, compatibility, redundancy and operational safety and a brief look at active navigation aids complete the unit.",Aerospace
Damage tolerance and airworthiness,"This unit will explain why aircraft structures/components fail, how engineers can learn from such failure and design to prevent it. Both fundamental and applied aspects of failure of aircraft structural components will be covered. The unit will detail the damage tolerance design philosophy, and how it fits into airworthiness requirements as described in the relevant Standard (JSSG 2006). The unit focuses on how fracture mechanics principles and modern fatigue crack growth laws are used to meet JSSG2006. To illustrate the effect of cracking on service aircraft we will consider flaw growth in a range of aircraft undergoing both in-service flight loading and full scale fatigue tests.",Aerospace
Wing design,"This unit covers a more advanced study of the aerodynamics of aircraft wings and aerofoil sections than introduced in previous units. Topics are covered in sufficient depth that you will understand the essential aerodynamic principles applied to aircraft wing design. The notable features of wing and airfoil aerodynamics are outlined, including transition and the analysis of viscous flows. Methods for the analysis and prediction of airfoil and finite wing aerodynamics are covered, together with an introduction to procedures for quantitative design.",Aerospace
Flight vehicle design,"On completion of this unit, you will have an understanding of the key elements of aircraft performance analysis as used in aerospace vehicle design. A student project, involving the initial design stages of a flight vehicle, will integrate these studies. Various characteristics of aircraft performance and their design implications will be examined including whole-aircraft drag polar, power plant characterisation, thrust required in level flight, maximum speed estimation, minimum speed and high-lift devices, rate of climb, gliding, range, endurance, accelerated flight, structural limitations on performance, and design for longitudinal and lateral stability. Mission analysis and preliminary weight estimation based on a design concept will be examined together with the aerodynamic synthesis to satisfy performance requirements, power plant selection, overall vehicle layout and balance. Trade-offs as a necessary part of the design will be apparent to you on completion of this unit.",Aerospace
Aircraft structures 2,This unit provides you with the necessary skills and knowledge in solid mechanics to confidently analyse and design engineering components and structures with particular reference to the aerospace industry. Each part of the unit contrasts theory and practical application in order to impart a practical appreciation of the knowledge gained. The role of approximate methods of analysis and their interaction with practical situations is highlighted. Constant use is made of real-life problems from the aerospace industry.,Aerospace
Minor research project,"This unit provides the student with the opportunity to investigate a social problem which has subsequently been resolved through an engineering solution. The student is required to clearly define the problem which is to be resolved; describe the scientific principles underlying the engineering solution; discuss incremental improvements to the engineering product and identify future improvements which may resolve current issues in the construction, use and/or disposal of the engineering solution.",Aerospace
Advanced aerodynamics and turbulence,"This unit introduces differential and integral forms of governing equations in tensor notation, reviews inviscid and viscous aerodynamic flows and analyses the derivation of thin shear layer equations. Solution methods for boundary layer equations for the prediction of drag, lift and boundary layer separation on airfoil surfaces follows. Flow instability and transition from laminar to turbulent flow is examined and boundary layer stability analysis is introduced. Turbulence physics and turbulent shear flows and the analysis of turbulent shear flows are covered together with an introduction to statistical analysis in turbulence and aerodynamic flow control.",Aerospace
Aircraft engines,"This unit deals with the operation, performance and design of spark ignition and gas turbine aircraft engines. Initially the engines will be treated as thermodynamic systems. A more detailed investigation of engine individual components will follow. Component integration will be examined through investigations into operation, performance and design. Methods based on thermodynamic modeling to predict engine performance will be investigated, including for gas turbines design and off-design conditions. You will be required to undertake a significant individual project dealing with aspects of each engine.",Aerospace
Aerospace Design 1,"This course aims to provide students with a grounding in aerospace design, in terms of both structural design and systems design. The course includes the design process, aerospace load cases, margins of safety, international units, regulations, detailed aerospace structural design, and an introduction to aerospace systems design. CATIA is taught in parallel to develop skills in a common computer aided design tool used in the aerospace industry. The final project aims to provide an experiential learning opportunity and develop team work skills, with students completing a Design-Build-Test project in small groups by designing a representative aerospace part to meet a set of requirements, manufacturing the part, and testing it to failure.

Students are expected to have a sound understanding of engineering design and drawing, statics and free body diagrams, manufacturing, aerospace structural analysis, and flight performance prior to attempting this course.
",Aerospace
Aerospace Structures,"This course covers introductory and intermediate topics related to analysis and design of airframes:Aerospace Materials and their PropertiesLightweight Materials - Alloys and CompositesTensors - Stress, Strain, InvariantsFailure PredictionMaterial Degradation - Fatigue, Corrosion, WearAnalysis of Composite MaterialsClassical Airframe AnalysisAirframe LoadsStressed Skin Design PhilosophyRole of Airframe ComponentsThin-walled ApproximationStructural IdealisationAnalysis of Indeterminate TrussesBending, Shear and Torsion of Complex BeamsDetailed Stressing - Joints and Cut-outsStructural Instability and AeroelasticityBuckling of Columns and PlatesStiffened Panel Analysis and DesignAeroelasticity - Divergence, Control Reversal and Flutter",Aerospace
Aerodynamics,"The overall aim of this course is to introduce students to the art and science of aerodynamics: how fluid motion generates the forces and moments on air vehicles required for flight. The course objectives are to
provide the understanding you need to communicate with other aerospace engineers regarding aerodynamic matters,provide the ability to analyse the aerodynamic performance of aerospace vehicles andprovide the basis for further advanced study of aerodynamics in your career.",Aerospace
Flight Performance and Propulsion,"Atmospheric environment. Aircraft performance; speeds, range and endurance. Energy rates of climb. Mission profiles; accelerated and non-accelerated flight; take-off and landing. Introduction to propulsion systems; history, types, basic thrust, efficiency equations, propellers, rotors and fans. Engine intakes.; subsonic, supersonic, scramjets, ramjets, gas turbines, piston engines, design performance. Rockets, noise, pollution. Future propulsion systems.",Aerospace
Aerospace Design 2,"This course is a capstone aerospace design project. In design teams, students develop a preliminary design of an aircraft to meet a given request for proposal. The course aims to give a holistic approach to the aerospace design process. Students are required to consider the requirements of several disciplines including conceptual design, configuration, weights, sizing, payload, aerodynamics, propulsion, structures, systems, stability and control, performance, and cost. The course will give students the opportunity to integrate these elements into a single congruous design of an aircraft. Team work, report writing, and presentation skills are a focus to develop important professional skills for industry.

Students are expected to have a sound understanding of aerospace regulations, aerodynamics, flight performance, propulsion, structural design and analysis, materials, flight dynamics, and aerospace systems prior to attempting this course.
",Aerospace
Aerospace Design Project B,"Only students that have satisfactorily completed the current Aerospace Design Project A are eligible for this course. The same teams continue with their design study and produce a team report, they also give a presentation to leading engineer from the industry representing design organizations, manufacturing, maintenance the airlines and regulators. Each student also produces a portfolio of individual work at the end of the course along with an appraisal of the design, team and individual team members. The expert lectures continue during this course.",Aerospace
Spacecraft Engineering,"This course will provide an introduction to spacecraft engineering and will cover the topics of rockets and launch vehicles, orbital mechanics, orbital manoeuvers, interplanetary trajectories, mission design and spacecraft systems. Aspects of the design and operation of satellites will also be reviewed. Tutorials will include qualitative and quantitative analysis of relevant problems. Students will use Satellite Toolkit (STK) to complement the lecture and tutorial material and to complete an assignment. The course will include a field trip to the Canberra Deep Space Communications Complex in Tidbinbilla.",Aerospace
"Dynamics of Aerospace Vehicles, Systems and Avionics","Power, mass and information transfer. Fluidic, mechanical and electrical systems in aerospace vehicles; environment control. Avionics and advanced aircraft systems; computer-aided vehicle management. Avionics requirements; avionics integration. Airborne sensors. Navigation. Stability and control systems. Cockpit environment. Static and dynamic stability of atmospheric vehicles. Flight control. Handling and flying qualities.",Aerospace
Space Systems Architectures and Orbits,"This course paints the overall picture of what a satellite system is. It gives an overview of the system covering the space segment, ground segment and user applications. Topics include: history of space flight and satellite systems, orbital mechanics, the space environment, the space segment, the earth segment, satellite link fundamentals, satellite reliability, overview of satellite applications.",Aerospace
The Space Segment,"This course gives the students a basis in the design issues involved in the engineering of the space segment in order to enable to fulfil the mission.Â  This course covers three areas of the space segment design: 1. Design methodology for satellites; 2. Operational environment, including orbits, orbital manoeuvres, interplanetary transfers as well as the thermal, structural, electromagnetic environment and 3. The hardware implementation of the space segment, incorporating the payload types and satellite support subsystems.Â  Examples of current and past space missions are used to illustrate the design process and design implementation associated with the space segment of the mission. Where appropriate, theory associated with the preliminary analysis of the operation and performance of the space segment is also presented. This course delivers to the student a broad overview of the engineering principles involved with the design, development, testing and implementation of the space segment of a space mission.",Aerospace
Advanced Aerospace Propulsion,"This course aims to enableÂ you to:
gain a deeper appreciation of gas turbine operation and to make high-level predictions of gas turbine behavior in various flight scenarios. This will be achieved by comparing analytical and numerical predictions of turbine behaviour with physical observations made in a laboratory setting.develop a strong understanding of rocket engines for different mission profiles. This will include reaching Earth orbits from sea-level (chemical rockets) and for satellite station keeping & interplanetary missions (ion-thrusters).Â develop a deeper understanding of the thermodynamic aspects of reciprocating piston internal combustion engines and the role that energy harvesting of exhaust gases can have on aircraft fuel consumption in an era of greater powertrain hybridization.
Specific topics include:
Polytropic efficiencies of compressors and turbines. Gas turbine engine matching in off-design conditions (plotting engine working lines with respect to compressor diagrams following Cumpstyâs analytical approach) for single-spool turbojet, two-spool turbojet, single-spool turbofan, two-spool turbofan.Â Exergy analysis of open systems (gas turbine compressors and turbines) using stagnation properties. The exergy of lift.Â Temperature control of aircraft and spacecraft.Introduction to the simulation of gas turbine engines with GasTurb software.Gas turbine laboratory.Introduction to chemical rockets, specific impulse, the Tsiolkovsky rocket equation, the concept of maximum dynamic pressure.Thermodynamic analysis of rockets, introduction to ion thrusters.High-speed aircraft propulsion operation. Constraints on combat gas turbine engine operation, the afterburner, fighter aircraft nozzles. Ramjets and Scramjets.Finite time thermodynamics. Overview of basic Curzon-Novikov-Alhborn theory. Quasi-dimensional simulation of reciprocating piston, internal combustion engines.Â Introduction to electrical motor and generators, batteries, solar cells. Fully electric propulsion and hybrid propulsion.",Aerospace
Introduction to Aircraft Engineering,"This course gives an explanation of how aircraft fly and how engineering technologies relate to the vehicle. Topics include layout of the aircraft such as structure, engines, systems and avionics; materials used in construction, introduction to lift, drag and thrust and design of aerofoils. It covers concepts and nomenclature relating to flight vehicles and the significance of aircraft configurations and flight systems.",Aerospace
Safety Systems Management,Objective : To develop an understanding and application of principles of safety systems management and risk management when considering engineering systems.,Aerospace
Unmanned Air Vehicle Systems,"Objectives/Expected Outcomes: To develop specialist knowledge and understanding of Unmanned Air Vehicle (UAV) systems. To be able to assess, evaluate and perform preliminary design analysis on complete UAV systems.",Aerospace
Introduction to Aircraft Construction and Design,"The study towards BE(Aeronautical) involves learning about the Design, Analysis, Flight, and Operation of Aircraft and other Flight Platforms. This unit facilitates the training towards becoming professional aeronautical engineers through a globally-unique experiential-learning opportunity to provide a strong background familiarity with aircraft hardware. This unit is designed to educate and facilitate the learning of aircraft design, basic aircraft construction techniques, the operation of light aircraft and the registration and regulations relating to light aircraft. In addition to hands-on skills on the construction phase, this unit facilitates learning in motivations for unique aircraft design, aircraft aerodynamics, flight mechanics, structural aspects and other design-related issues. Teamwork plays a very important role in this unit; the ability to work with peers and supervising staff is an invaluable skill sought after by employers of engineers.",Aerospace
Optimisation Methods in Engineering,"The unit is intended primarily to graduate students and senior undergraduate students with some background in linear algebra, and with basic knowledge of FORTRAN, C++ or Matlab. After completion of this unit, students will have a much deeper understanding of methods used in modern design optimisation for linear and non-linear problems. Such problems are becoming increasingly common and important in engineering and scientific work. The unit will explore the limitations, advantages and caveats associated with optimisation in engineering applications. Students will develop their own optimisation methods for linear, non-linear, and multi-objective computational and experimental applications.",Aerospace
Space Engineering (Advanced),This postgraduate unit allows students to complete additional project work with the school's research teams as part of their studies.,Aerospace
Aerospace Structures 1,"This unit aims to develop a student's understanding of the theoretical basis of advanced aerospace structural analysis; and introduce students to the solution of real-world aircraft structural problems. This unit of study will develop the following attributes: An understanding of the derivation of the fundamental equations of elasticity and their application in certain analytical problems; An understanding of plate theory and the ability to use this to obtain analytical solutions for plate bending and buckling problems; An understanding of energy-method to develop a deeper appreciation for the complexities of designing solution techniques for structural problems; An understanding of the basic principals behind stressed-skin aircraft construction and the practical analysis of typical aircraft components, including the limitations of such techniques. At the end of this unit students will have an understanding of: 2-D and 3-D elasticity- general equations and solution techniques; Energy methods in structural analysis, including the principles of virtual work and total potential and complimentary energies; Fundamental theory of plates, including in-plane and bending loads as well as buckling and shear instabilities; Solution techniques for plate problems, including Navier solutions for rectangular plates; Combined bending and in-plane loading problems; Energy methods for plate-bending; and Plate buckling for compression and shear loadings; Bending of beams with unsymmetrical cross-sections; Basic principles and theory of stressed-skin structural analysis; Determination of direct stresses and shear flows in arbitrary thin-walled beams under arbitrary loading conditions including: Unsymmetrical sections, Open and closed sections, Single and multi-cell closed sections, Tapered sections, Continuous and idealized sections; The analysis of common aircraft components including fuselages, wings, skin-panels, stringers, ribs, frames and cut-outs; The effects of end constraints and shear-lag on the solutions developed as well as an overall appreciation of the limitations of the solution methods presented.",Aerospace
Flight Mechanics Test and Evaluation Adv [not running in 2020],"This unit aims to develop an understanding of aircraft flight test, validation and verification, and the development of modern flight control, guidance, and navigation systems. Students will gain skills in analysis, problem solving and systems design in the areas of aircraft dynamic system identification and control.",Aerospace
Flight Mechanics 1,"This unit aims to develop an understanding of aircraft longitudinal equilibrium, static stability, dynamic stability and response. Students will develop an understanding of the importance and significance of flight stability, will gain skills in dynamic system analysis and will learn mathematical tools used for prediction of aircraft flight behaviour. Students will gain skills in problem solving in the area of flight vehicle motion, and learn the fundamentals of flight simulation.",Aerospace
Aerospace Design 2,"This unit aims to develop an understanding of the aerospace industry procedures for design, analysis, and testing of aircraft and aerospace vehicle components. It provides a Design-Build-Test experience by putting into practice, learning outcomes from this and other previously completed UoS, through working on a small structure which is representative of a typical light metal aircraft. Students will be introduced to typical metallic and composite materials and structures for aerospace vehicles. The unit also provides an introduction to fatigue and damaged tolerance analysis of metallic aircraft structures. Experiential learning opportunities are provided to acquire skills and knowledge in structural design, analyses, testing methods, procedures, techniques, and equipment.",Aerospace
Aerospace Design 3,"This unit aims to develop an understanding of the application of design to the modern aerospace industry. Students will gain an overview of how to manage a design team and will also gain skills in carrying out detailed design problems. Course content will include: Design requirements; Sources of information for aircraft design; Configuration design: performance, weight and balance, propulsion; Aerodynamic design: lift, drag and control; Structural design: loads, materials; Philosophies of design and analysis; System design: requirements and specification; System design procedures; systems integration.",Aerospace
Flight Mechanics 2,"This unit aims to develop an understanding of the application of flight mechanics principles to modern aircraft systems. Students will gain skills in problem solving in the areas of dynamic aircraft behaviour, aircraft sensitivity to wind gusts, control systems development and aircraft handling analysis.",Aerospace
Rotary Wing Aircraft,"This unit aims to develop an understanding of the theory of flight, design and analysis of helicopters, auto-gyros and other rotary wing aircraft. Students will gain an appreciation of the extra difficulties involved when the vehicle flow is cyclic in nature. At the end of this unit students will be able to: Identify and predict the various flow states of a generic lift producing rotor; Use appropriate methods to determine the forces and torques associated with the rotor; Estimate values for typical stability derivatives for helicopters and be able to construct a simple set of stability analysis equations for the vehicle; become aware of the regulatory and liability requirements relating to all aspects of commercial helicopter operation and maintenance. Course content will include introduction to rotary wing aircraft; vertical flight performance; forward flight performance; blade motion and control; dynamics of rotors; rotor-craft stability; rotor blade design.",Aerospace
Rotary Wing Aircraft,"This unit aims to develop an understanding of the theory of flight, design and analysis of helicopters, auto-gyros and other rotary wing aircraft. Students will gain an appreciation of the extra difficulties involved when the vehicle flow is cyclic in nature. At the end of this unit students will be able to: Identify and predict the various flow states of a generic lift producing rotor; Use appropriate methods to determine the forces and torques associated with the rotor; Estimate values for typical stability derivatives for helicopters and be able to construct a simple set of stability analysis equations for the vehicle; become aware of the regulatory and liability requirements relating to all aspects of commercial helicopter operation and maintenance. Course content will include introduction to rotary wing aircraft; vertical flight performance; forward flight performance; blade motion and control; dynamics of rotors; rotor-craft stability; rotor blade design.",Aerospace
Aircraft Performance and Operations,"This unit aims to develop in students an understanding of the fundamental concepts involved in the operation and performance of aircraft. The students will acquire an ability to make accurate and meaningful measurements of take-off, climb, cruise, turn, descent and landing performance; to perform weight and balance calculations; to understand the use of aerodynamic derivatives and their impact on aircraft performance. Students will be shown methods to optimise performance for specific missions. The unit will also cover modern issues such as airport congestion, noise restrictions, aviation certification requirements for the use of different aircraft categories and novel methods of solving these problems.",Aerospace
Space Engineering 1,"This unit aims to introduce students to the terminology, technology and current practice in the field of Space Engineering. Course content will include a variety of topics in the area of Space Engineering including: orbital mechanics, satellite systems, launch vehicle systems, space related regulations, space systems engineering analysis.",Aerospace
Aerospace Design 1,"This unit aims to introduce students to the theory and practice of aircraft component design. In doing so it will emphasize all the considerations, trade-offs and decisions inherent in this process and thus enable students to gain an understanding of why aircraft structures are designed in the way they are with respect to aircraft operational, certification, manufacturing and cost considerations. At the end of this unit students will be able to understand the design process, especially as it applies to aircraft individual component design; Have a familiarity with some of the standard industry practices for component design; An increasing familiarity with typical aerospace analysis techniques along with the primary failure modes that need to be considered; An understanding of the importance of different failure modes for different components and how these relate to load-conditions; a familarity with the operating environment that must be considered when designing components; and understanding of some of the legal and ethical requirements of aircraft design engineers to give a basic understanding of the regulatory framework in which aircraft design is conducted.",Aerospace
Aerodynamics 2,"This unit aims to introduce students to: elementary and advanced topics in Gasdynamics (High Speed Flows). Course content will include review of Equations of Gasdynamics, One-Dimensional Gas Flow, Isentropic Flows, Normal Shock, Flow in a Converging and Converging-Diverging Nozzle, Steady Two-dimensional Supersonic Flow, Shock waves (Normal and Oblique), Method of Characteristics, Two-dimensional Supersonic Aerofoils, Introduction to Three Dimensional Effects, Unsteady Flows, Moving Shocks, Shock Tube Flow and Transonic Flow and Compressible Boundary Layers, introduction to turbulent flows. At the end of this unit the student will be able to calculate a high speed flow about an aerofoil and compressible flow through a duct of varying cross-section and will have a good appreciation of Transonic and Hypersonic Flows.",Aerospace
Spacecraft and Satellite Design,"This unit aims to provide students with a learning environment that promotes systems thinking and allows students to develop skills in systems analysis and design. In particular the UoS will focus on Aerospace systems, and students will develop both theoretical and practical skills in the area of systems engineering for this discipline. The primary objective is to develop fundamental systems engineering and systems thinking skills. At the end of this unit students will be able to: define the requirements process and be able to apply it to aerospace systems design.; conduct requirements analysis for an aerospace system and to drill down through requirements breakdown and the use of the V-diagram in this analysis; conduct functional and technical analysis and determine design drivers in a system; manage the use of a log book and its application in engineering design; develop technical skills in the design and development of satellite subsystems; conduct appropriate interaction processes between team members for the successful achievement of goals. Course content will include fundamentals of systems engineering; satellite subsystems; systems design.",Aerospace
Aerospace Structures 2,"This unit aims to teach fundamentals of modern numerical and analytical techniques for evaluating stresses, strains, deformations and strengths of representative aerospace structures. In particular the focus is on developing an understanding of: Fundamental concepts and formulations of the finite element methods for basic structural analysis; Elements for typical aerospace structures, such as beams/frames, plates/shells, and their applications and limitations; Finite element techniques for various types of problems pertinent to aerospace structures; and, developing hands-on experience of using selected commercial finite element analysis program. At the end of this unit of study the following will have been covered: Introduction to Finite Element Method for modern structural and stress analysis; One-dimensional rod elements; Generalization of FEM for elasticity; Two- and three-dimensional trusses; FEA for beams and frames in 2D and 3D; Two-dimensional problems using constant strain triangular elements; The two-dimensional isoparametric elements; Plates and shells elements and their applications; FEA for axisymmetric shells and pressure vessels, shells of revolution; FEA for axisymmetric solids subjected to axi-symmetric loading; FEA for structural dynamics, eigenvalue analysis, modal response, transient response; Finite element analysis for stress stiffening and buckling of beams, plates and shells; Three-dimensional problems in stress analysis; Extensions to the element library, higher order elements, special elements; Constraints; FEA modeling strategy; FEA for heat conduction; FEA for non-linear material and geometric analysis.",Aerospace
Applied Finite Element Analysis,"This unit aims to teach fundamentals of modern numerical and analytical techniques for evaluating stresses, strains, deformations and strengths of representative aerospace structures. In particular the focus is on developing an understanding of: Fundamental concepts and formulations of the finite element methods for basic structural analysis; Elements for typical aerospace structures, such as beams/frames, plates/shells, and their applications and limitations; Finite element techniques for various types of problems pertinent to aerospace structures; d)and, developing hands-on experience of using selected commercial finite element analysis program.",Aerospace
Space Engineering 3,"This unit aims to teach students the fundamental principles and methods of designing solutions to estimation and control problems in aerospace engineering applications. Students will apply learned techniques in estimation and control theory to solving a wide range of different problems in engineering such as satellite orbit determination, orbit transfers, satellite attitude determination, satellite positioning systems and remote sensing. Students will learn to recognise and appreciate the coupling between the different elements within an estimation and control task, from a systems-theoretic perspective. Students will learn to use this system knowledge and basic design principles to design and test a solution to a given estimation task, with a focus on aerospace applications (such as satellite remote sensing).",Aerospace
Aerospace Management [not running in 2020],"This unit aims to: develop an understanding of the principles of management as applies particularly to the engineering and industrial settings. It aims to provide knowledge of the principles and tools that can assist communication, supervision, project management, team membership, decision making and risk management.",Aerospace
Aircraft Avionics and Systems [not running in 2020],"This unit of study aims to develop a thorough qualitative understanding of modern avionics and aircraft systems. It deals with the full breadth of cockpit avionics systems and subsystems from flight instrument and display technology to flight management, flight control, navigation and sensor systems.",Aerospace
